func_num,scale,mean,stddev
2,10,0.0439475,0.031358
2,11,0.028437,0.000538266
2,12,0.029533,0.00149321
2,13,0.029754,0.0014734
2,14,0.0304956,0.00255695
2,15,0.0287444,0.00074101
2,16,0.0288483,0.000477728
2,17,0.0288742,0.000659089
2,18,0.0287951,0.000542492
2,19,0.0297718,0.0010092
2,20,0.0294233,0.00063985
2,21,0.0292366,0.000466167
2,22,0.0298903,0.000506495
2,23,0.0308985,0.000410042
2,24,0.0339043,0.00127225
3,10,0.0424197,0.000729002
3,11,0.0425257,0.000471147
3,12,0.0427115,0.00092511
3,13,0.042387,0.00075543
3,14,0.041738,0.000511761
3,15,0.0427216,0.000867726
3,16,0.0425506,0.00127709
3,17,0.0427581,0.000675577
3,18,0.0431516,0.00134628
3,19,0.0429878,0.000797801
3,20,0.0429794,0.000995563
3,21,0.0430716,0.000920747
3,22,0.0438478,0.000834177
3,23,0.0453104,0.0011289
3,24,0.0473812,0.00133997
4,10,0.0564562,0.000283378
4,11,0.0564457,6.24392e-05
4,12,0.0569901,0.00179263
4,13,0.0571567,0.00136263
4,14,0.0568225,0.00153941
4,15,0.0569652,0.0014114
4,16,0.0560084,0.00047187
4,17,0.0568908,0.00094533
4,18,0.0554421,0.000156175
4,19,0.0562346,0.000510276
4,20,0.0568849,0.00120743
4,21,0.0564395,0.000591619
4,22,0.0580903,0.00159833
4,23,0.0583454,0.00131948
4,24,0.0615281,0.00180113
