func_num,scale,mean,stddev
2,10,0.00294358,0.00117434
2,11,0.00453888,2.50499e-05
2,12,0.00929965,0.000977017
2,13,0.0188897,0.00260624
2,14,0.0311063,0.00196453
2,15,0.048496,0.000189106
2,16,0.0691273,0.00129734
2,17,0.0836684,0.000473563
2,18,0.0991308,0.000285876
2,19,0.130948,0.0050953
2,20,0.193696,0.00665161
2,21,0.312579,0.00654705
2,22,0.579419,0.0129313
2,23,1.20794,0.00717695
2,24,6.31342,2.57052
3,10,0.00242764,4.84352e-05
3,11,0.00462542,4.73939e-05
3,12,0.00884682,7.31999e-05
3,13,0.0165434,5.152e-05
3,14,0.0294167,0.000107872
3,15,0.0476152,0.000395084
3,16,0.0667526,0.000277471
3,17,0.0820039,0.000516152
3,18,0.0982705,0.000424502
3,19,0.128771,0.00131435
3,20,0.185879,0.000716197
3,21,0.307996,0.00141848
3,22,0.575608,0.0106
3,23,1.17707,0.00836132
3,24,2.17964,0.0107465
4,10,0.00243318,2.03671e-05
4,11,0.00468536,8.1657e-05
4,12,0.0089843,8.31572e-05
4,13,0.0167891,8.05382e-05
4,14,0.0297521,0.000109064
4,15,0.0477755,0.000342193
4,16,0.0675574,0.000561497
4,17,0.0823062,0.000275971
4,18,0.0980929,0.00081326
4,19,0.12705,0.000958727
4,20,0.187746,0.00206568
4,21,0.307825,0.000470541
4,22,0.570981,0.00454909
4,23,1.16951,0.0114623
4,24,2.13056,0.00607601
