func_num,percent,mean,stddev
3,0,0.0641776,0.0154878
3,1,0.0540872,0.013985
3,2,0.057729,0.0148768
3,3,0.053734,0.0140887
3,4,0.0463816,8.02272e-05
3,5,0.0466504,0.000302077
3,6,0.0468175,0.000140561
3,7,0.0482275,0.00258002
3,8,0.0470635,3.9098e-05
3,9,0.0488269,0.00133298
3,10,0.0525858,0.00708853
4,0,0.056194,0.000200821
4,1,0.0568326,0.000866486
4,2,0.0570963,0.000747452
4,3,0.0644422,0.0135237
4,4,0.0642838,0.0132718
4,5,0.0575442,6.62837e-05
4,6,0.0580009,0.000212051
4,7,0.0580671,6.12257e-05
4,8,0.0587873,0.000668385
4,9,0.0652892,0.0133975
4,10,0.0592308,0.000674014
