func_num,percent,mean,stddev
3,0,1.34678,0.0587823
3,1,1.41286,0.0877683
3,2,1.37728,0.00966961
3,3,1.40732,0.00638956
3,4,1.43947,0.00867214
3,5,1.456,0.0197337
3,6,1.49219,0.00751178
3,7,1.54796,0.0736653
3,8,1.53773,0.0125593
3,9,1.56582,0.00917863
3,10,1.60554,0.021908
4,0,1.43469,0.0177649
4,1,1.48251,0.0227062
4,2,1.52871,0.0226731
4,3,1.57684,0.0142959
4,4,1.63308,0.0164356
4,5,1.67967,0.0238586
4,6,1.70774,0.0231868
4,7,1.75888,0.0233812
4,8,1.81261,0.0148471
4,9,1.81874,0.00303701
4,10,1.88467,0.0165726
