func_num,ratios,mean,stddev
3,1.9,0.0924973,0.0395274
3,1.8,0.0663222,0.00146865
3,1.7,0.0617394,0.000625437
3,1.6,0.0589297,0.00164882
3,1.5,0.055202,0.00120727
3,1.4,0.0530938,0.0010728
3,1.3,0.0491142,0.000880428
3,1.2,0.0467326,0.00058291
3,1.1,0.0435251,0.0015199
3,1.05,0.0400999,0.000109168
3,1.02,0.0415416,0.00143584
3,1.01,0.0394398,0.000970893
4,1.9,0.0911189,0.00193572
4,1.8,0.0869779,0.00164433
4,1.7,0.0816485,0.00193868
4,1.6,0.0768154,0.00127531
4,1.5,0.0737705,0.00305763
4,1.4,0.0684717,0.00120234
4,1.3,0.0635253,0.00137649
4,1.2,0.0604276,0.00139355
4,1.1,0.0544544,0.000986151
4,1.05,0.052581,0.00138648
4,1.02,0.0525545,0.000971579
4,1.01,0.0508431,0.000653479
