func_num,ratios,mean,stddev
3,1.9,2.3893,0.249726
3,1.8,2.31445,0.0172794
3,1.7,2.40922,0.0549364
3,1.6,2.53768,0.036038
3,1.5,2.70946,0.0239621
3,1.4,2.8919,0.0256617
3,1.3,3.21708,0.0125243
3,1.2,6.33848,1.89421
3,1.1,12.0994,3.75464
3,1.05,8.24154,1.64733
3,1.02,10.2252,3.61084
3,1.01,9.26819,2.64024
4,1.9,2.20334,0.00657852
4,1.8,2.24865,0.00849129
4,1.7,2.32576,0.00664565
4,1.6,2.41653,0.012299
4,1.5,2.56341,0.0206585
4,1.4,2.67255,0.00898152
4,1.3,2.9339,0.0177339
4,1.2,3.39156,0.0188618
4,1.1,8.2102,3.26455
4,1.05,9.86271,1.67544
4,1.02,15.7333,2.37041
4,1.01,10.9119,2.16711
